date,actual_close,lstm_pred,gru_pred
2016-07-12,94.874,83.00591,90.1637
2016-07-13,94.339,83.12497,90.24313
2016-07-14,96.199,83.22925,90.24489
2016-07-15,96.199,83.35927,90.38064
2016-07-18,97.222,83.56929,90.82465
2016-07-19,97.261,83.87327,91.42767
2016-07-20,97.347,84.21658,91.79254
2016-07-21,96.831,84.53955,91.98707
2016-07-22,96.082,84.78891,91.93609
2016-07-25,94.796,84.93619,91.7307
2016-07-26,94.144,84.998795,91.52312
2016-07-27,100.26,84.97606,91.26711
2016-07-28,101.60999,85.06643,91.66867
2016-07-29,101.49,85.24717,92.18149
2016-08-01,103.28,85.467255,92.614136
2016-08-02,101.75,85.73405,93.08186
2016-08-03,103.02,85.98605,93.3831
2016-08-04,103.670006,86.23035,93.666916
2016-08-05,105.229996,86.48049,94.004
2016-08-08,106.11,86.749504,94.4001
2016-08-09,106.54,87.036156,94.83891
2016-08-10,105.75001,87.3307,95.27601
2016-08-11,105.68,87.613235,95.63909
2016-08-12,105.93,87.89623,96.01857
2016-08-15,107.19001,88.20383,96.4826
2016-08-16,107.100006,88.542366,96.98661
2016-08-17,106.93,88.83903,97.242615
2016-08-18,106.80999,89.08356,97.38938
2016-08-19,107.08001,89.29717,97.57181
2016-08-22,106.25,89.471375,97.714325
2016-08-23,106.579994,89.65151,98.00794
2016-08-24,105.78,89.81693,98.247475
2016-08-25,105.32,89.9122,98.25138
2016-08-26,104.7,89.89965,98.01619
2016-08-29,104.59,89.774025,97.654366
2016-08-30,103.78001,89.584465,97.378914
2016-08-31,103.88999,89.38263,97.268486
2016-09-01,104.50001,89.20596,97.30169
2016-09-02,105.48,89.09408,97.46673
2016-09-06,105.450005,89.012924,97.58163
2016-09-07,106.1,88.9606,97.699326
2016-09-08,103.32,88.97311,97.98546
2016-09-09,100.979996,88.9281,97.87648
2016-09-12,103.24,88.79096,97.51483
2016-09-13,105.7,88.71511,97.62051
2016-09-14,109.44,88.742905,97.99419
2016-09-15,113.15,88.92141,98.663536
2016-09-16,112.53,89.2431,99.46285
2016-09-19,111.21,89.62001,100.088425
2016-09-20,111.2,89.97764,100.4523
2016-09-21,111.18,90.31831,100.78157
2016-09-22,112.23,90.63275,101.05588
2016-09-23,110.36,90.93034,101.33696
2016-09-26,110.52,91.15921,101.41038
2016-09-27,110.72001,91.34505,101.506424
2016-09-28,111.58,91.50194,101.626114
2016-09-29,109.85,91.69355,102.004395
2016-09-30,110.68,91.89206,102.34581
2016-10-03,110.18,92.07698,102.565796
2016-10-04,110.630005,92.21252,102.59348
2016-10-05,110.68,92.27729,102.46735
2016-10-06,111.52,92.2283,102.07895
2016-10-07,111.69,92.18576,102.10159
2016-10-10,113.630005,92.20707,102.45331
2016-10-11,113.88,92.326126,103.03578
2016-10-12,114.9,92.50049,103.55183
2016-10-13,114.54,92.70498,103.973526
2016-10-14,115.18001,92.96421,104.513336
2016-10-17,115.11,93.24658,104.966324
2016-10-18,115.03,93.51969,105.27297
2016-10-19,114.67999,93.75814,105.43115
2016-10-20,114.62,94.021324,105.82021
2016-10-21,114.16999,94.26877,106.059555
